ID,Title,Version,Status,Priority,Severity,Type,Reproducibility,Reporter,Assignee,Description,"Expected results","Steps to reproduce",Device,Tags,Comments,"Created at","Updated at"
25,"Text is visible as ""4 Products in this collection"" instead of ""  4 Products used in this collection""",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Jugal SA","Refer design
https://app.sympli.io/app#!/designs/579737e24b9a4a6c5c5656cd","Text is visible as ""4 Products in this collection"" instead of ""  4 Products used in this collection""","1. Open story details page","Android Phone Samsung Galaxy J7 Android 5.1",,4,"04/08/2016 07:44:27 ","12/08/2016 07:45:02 "
26,"""Similar stories"" widget is not getting display under story details page.",1.6.0.test1,"Not a Bug",Medium,Major,Visual,Always,archana,"Varun Bhardwaj","Refer design : https://app.sympli.io/app#!/designs/579737e24b9a4a6c5c5656cd","""Similar stories"" widget should get display under story details page.","1. Open story details page.","Android Phone Samsung Galaxy J7 Android 5.1",,0,"04/08/2016 07:55:27 ","20/12/2016 12:49:32 "
27,"Chekmark option is not getting visible due to image is overlapping with checkbox",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,iliyas,"As per screen shot for 2nd product check box is not visible","Image should not overlap with check box","1. Open story details page for story ""Bollywood makeup Series"" by krutika","Android Phone Samsung Galaxy J7 Android 5.1",,3,"04/08/2016 08:04:24 ","11/08/2017 06:31:51 "
28,"Text  is getting visible as  ""Enter Postal code"" instead of  ""Tap to Provide a pincode"" under product details page.",1.6.0.test1,Closed,Medium,Minor,Text,Always,archana,"Rahul Asati","Delivery option under product details page showing mismatch text according to design.                                                                           Design: https://app.sympli.io/app#!/designs/578a0930886f4cbd6c4d6deb  ","Text should be ""Tap to Provide a pincode"" instead of  ""Enter Postal code"" under delivery options.","1. Open product details page.","Android Phone Samsung Galaxy J7 Android 5.1",,1,"04/08/2016 09:44:42 ","10/08/2016 07:43:48 "
29,"Featued stories widget is missing under product details page.",1.6.0.test1,"Not a Bug",Medium,Major,Visual,Always,archana,"Rahul Asati","Refer design 
https://app.sympli.io/app#!/designs/578a0930886f4cbd6c4d6deb","Featued stories widget should be present under product details page.","1. Open product details page","Android Phone Samsung Galaxy J7 Android 5.1",,1,"04/08/2016 10:14:32 ","28/12/2016 11:58:57 "
30,"Spacing is missing between description and overview tab. ",1.6.0.test1,Closed,Medium,Major,Visual,Always,archana,naved,"There is no space between Decription page and overview tab.


","Spacing should be present  between description and overview tab","1. Open product details page.; 2. Click on Details tab.","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 10:24:54 ","18/05/2017 06:21:11 "
31,"White space visible between product name and add to cart button ",1.6.0.test1,"Not a Bug",,Minor,Visual,Always,archana,"Rahul Asati","whie spaces are present between product name and add to cart button.
as rating and review count is not present for the product.

Check product under widgets

Bug screenshot: http://screencast.com/t/aFazc6ni","White space should not be present. ","1. Open product details page.","Android Phone Samsung Galaxy J7 Android 5.1",,0,"04/08/2016 10:35:35 ","28/12/2016 12:01:51 "
32,"Text is visible as ""Ask a question"" instead of ""Ask a new question""",1.6.0.test1,Closed,Low,Minor,Visual,Always,archana,"Rahul Asati","'Text should be ""Add a new question"" instead of ""Ask a question"" under question tab.

Refer design :https://app.sympli.io/app#!/designs/578748e19bdbf8085dec159b
","'Text should be ""Add a new question"" instead of ""Ask a question"" under question tab","1. Open product details page; 2. Open question page","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 10:45:59 ","10/08/2016 07:45:01 "
33,"Button is named as ""Add to cart""  instead of ""Add to bag""",1.6.0.test1,Closed,Medium,Major,Text,Always,archana,prachi,"Text should be ""Add to bag "" to add products in cart. 

Needs to change in all pages like Overview , details reviews , question sand so on.","''Add to cart"" button should get replaced with ""Add to bag""","1. Open product details page","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 11:05:51 ","18/05/2017 06:51:57 "
34,"Product listing page is showing sort and filter at footer instead of header.  Also category name and product qty is not shown",1.6.0.test1,Closed,Medium,Major,Visual,Always,archana,"Rahul Asati","Product listing page is showing sort and filter at footer instead of header.  Also category name and product qty is not shown","Sort and filter should be present at footer as per design . 
Also category name and product name should be present in header.

Refer design:https://app.sympli.io/app#!/designs/578a2553886f4cbd6c4d704e","1. Open product listing page","Android Phone Samsung Galaxy J7 Android 5.1",,4,"04/08/2016 11:46:28 ","28/12/2016 12:04:28 "
35,"Total price tab is getting visible in red color instead of black ",1.6.0.test1,Closed,Low,Minor,Text,Always,archana,"Rahul Asati","As per design total price text is getting visible. also price is visible in red color
https://app.sympli.io/app#!/designs/579c8fbd63baf12350e57feb","Total price tab should be visible in black color. ","1. Add products in cart; 2. Open cart page.","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 12:22:18 ","10/08/2016 09:40:07 "
36,"Move to wishlit icon is prefilled even user is not added it in wihsiist",1.6.0.test1,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","Move to wishlit icon is prefilled even user is not added it in wihsiist in cart page
Design:
https://app.sympli.io/app#!/designs/579c8fbd63baf12350e57feb
","Move to wishlit icon should not be prefilled if user is not added it in wihsiist.","1. Add product in cart; 2. Open cart page","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 12:30:47 ","10/08/2016 09:42:09 "
37,"Coupon discount field is missing under price details tab in cart page",1.6.0.test1,Closed,Medium,Major,Visual,Always,archana,"Rahul Asati","Refer design
https://app.sympli.io/app#!/designs/579c8fbd63baf12350e57feb","Coupon discount field should be present  in price details tab. ","1. Add product in cart; 2. Open cart page","Android Phone Samsung Galaxy J7 Android 5.1",,2,"04/08/2016 12:34:22 ","10/08/2016 10:24:57 "
38,"Title  is visible as ""Options"" instead of ""Promotional code"" for coupon code tab in cart page",1.6.0.test1,Closed,Medium,Major,Text,Always,archana,"Rahul Asati","Title  is visible as ""Options"" instead of ""Promotional code"" for coupon code tab in cart page.

Also text should ""Apply coupon"" instead if ""Have a coupon code"" under coupon code field as per design.","Text should be promotional code instead of Options for coupon code tabs","1. Open cart page; 2. Observe coupon code tab","Android Phone Samsung Galaxy J7 Android 5.1",,1,"04/08/2016 12:45:04 ","10/08/2016 11:10:34 "
39,"Recommened for you widget is missing under cart page",1.6.0.test1,Closed,Medium,Major,"User input data",Always,archana,"Rahul Asati","Recommened for you widget is missing under cart page","Recommeded for you widget should be present under cart page

https://app.sympli.io/app#!/designs/579c8fbd63baf12350e57feb","1. Open cart page","Android Phone Samsung Galaxy J7 Android 5.1",,7,"04/08/2016 12:47:57 ","03/01/2017 06:59:45 "
40,"Text is visible as ""confirm"" instead of ""Proceed to pay"" for adderess page while proceeding for payement.",1.6.0.test1,Closed,Medium,Minor,Text,Always,archana,"Rahul Asati","Refer link
https://app.sympli.io/app#!/designs/579c8eb463baf12350e57fe5","""Proceed to pay"" text should be visible instead of confirm for adderess page while procedding for payement.","1. Add product in cart; 2. Proceed to payment and check address page","Android Phone Samsung Galaxy J7 Android 5.0",,2,"05/08/2016 06:39:35 ","10/08/2016 11:13:33 "
41,"Message is getting visible as ""Service not available for this pin code "" for the pin codes where service should be available.",1.6.0.test1,Closed,High,Major,Functional,Always,archana,"Rahul Asati","Msg is getting visible as ""Service not available for this pin code "" for the pin codes where service should be available.

As per screenshot 410509 is pincode of pune city. which should be serviceable.","User should able to purchase products with serviceable pin codes.","1. Open address page while proceeding for payment; 2. Add pin code as ""410509""","Android Phone Samsung Galaxy J7 Android 5.0",,2,"05/08/2016 07:28:02 ","10/08/2016 11:14:49 "
42,"Address page design is mismatching.",1.6.0.test1,Closed,Medium,Major,Visual,Always,archana,"Rahul Asati","Refer design:
https://app.sympli.io/app#!/designs/579c8f4863baf12350e57fe8
1. There is no space between lable and text box.

2. Also. ""Make this my default address"" tab is missing.

3. Cancel button is missing.

","There shoould be space between lable and text box.

""Make this my default address"" tab should be present.","1. Add products in cart; 2. Proceed to checkout; 3. Check address page","Android Phone Samsung Galaxy J7 Android 5.1",,4,"05/08/2016 07:37:25 ","03/02/2017 11:07:23 "
46,"""Pay using purplle wallet money"" checkbox is getting visible under cod tab",1.6.0.test1,Closed,Medium,Minor,Text,Always,archana,"Rahul Asati","""Pay using purplle wallet money"" checkbox is getting visible under cod tab. 
","""Purplle wallet money not applicable on cod"" text should be visible under payement gatway of cod.","1. Use accout with money in wallet.; 2. Proceed to cod payment gateway","Android Phone Samsung Galaxy J7 Android 5.1",,5,"05/08/2016 10:01:40 ","02/09/2016 09:29:39 "
47,"Pagination is not visible under payement , address page",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Rahul Asati","pfa screenshots for design

Refer screenshots 
http://screencast.com/t/oMPFctMKuBQ

http://screencast.com/t/0ZXv00dSagjK","Pagination and heading should be visible.","1. Add product in cart; 2. Open address page ; 3. open payement gateway","Android Phone Samsung Galaxy J7 Android 5.1",,3,"05/08/2016 10:52:05 ","12/08/2016 07:45:28 "
48,"Search tab is missing under My favourites >>salon tab",1.6.0.test1,"Not a Bug",Medium,Minor,Visual,Always,archana,"Varun Bhardwaj","Refer design
https://app.sympli.io/app#!/designs/57623f501968f22474d986bd","Search tab should be present under salons tab","1. Open Drawer >> My favourites >> Salon","Android Phone Samsung Galaxy J7 Android 5.1",,3,"05/08/2016 11:27:16 ","18/05/2017 06:53:25 "
49,"""Add to bag"" tab text should be present instead of ""Add to cart"" under Drawer >> My favourite >>  products",1.6.0.test1,"Not a Bug",Low,Minor,Visual,Always,archana,"Rahul Asati",,"""Add to bag"" tab text should be present instead of ""Add to cart"" under Drawer >> My favourite >>  products","1. Open Drawer >> My favourite >>  products","Android Phone Samsung Galaxy J7 Android 5.1",,2,"05/08/2016 11:31:49 ","28/12/2016 12:55:17 "
51,"image is mismatched while uploading and and after posting.",1.6.0.test1,Closed,Low,Major,Visual,Always,archana,"Rahul Asati","Image which user uploads is mismatching with image getting visible after posting. ",,"1. Create story and post it; 2. Check image after posting ",,,2,"08/08/2016 13:03:09 ","12/08/2016 07:45:44 "
52,"Image is not getting uplaod with camera mode in samsung note3  while creating story.",1.6.0.test1,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","Image is not getting uplaod with camera mode in samsung note3  while creating story.",,"1. Create story with uploding image with camera","Android Phone Samsung Galaxy J7 Android 5.1",,2,"08/08/2016 13:28:50 ","12/08/2016 10:01:25 "
53,"Header of product details page is misamtching with design ",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Rahul Asati","Refer design https://app.sympli.io/app#!/designs/5774ff8e9f7b6b8e56df690e","Purplle logo is not visible, offers logo not present","1. Open product details page","Android Phone Samsung Galaxy J7 Android 5.1",,5,"08/08/2016 13:49:06 ","28/12/2016 13:09:30 "
54,"Broken link is getting visible when user does saved cards payment",1.6.0.test1,Closed,High,Major,Functional,Always,archana,"Rahul Asati","Broken link is getting visible when user does saved cards payment",,"1. Make saved cards payment","Android Phone Samsung Galaxy J7",,1,"08/08/2016 13:53:08 ","04/10/2016 09:12:15 "
55,"Blank spaces is visible under Product info page",1.6.0.test1,Closed,Critical,Minor,Visual,Always,archana,iliyas,,,"1. Open prodcut details page for anddis gromming kit D3T","Android Phone Samsung Galaxy Note 3",,1,"08/08/2016 13:55:59 ","20/12/2016 14:36:51 "
56,"Reviews are not getting updated (new review is not getting replaced with previous review) new reviews is gettting add.",1.6.0.test1,Closed,High,Critical,Functional,Always,archana,"Rahul Asati","Reviews are not getting update (new review is not getting replace with previous review) new reviews is gettting add one after another.","New review should get replaced with previous one","1. Open product details page; 2. Write a Review and post it; 3. Write a new review and post it","Android Phone Samsung Galaxy J7 Android 5.1",,3,"09/08/2016 07:15:33 ","12/08/2016 07:46:07 "
57,"User's review and following counts not getting display under review page",1.6.0.test1,Closed,Medium,Minor,Functional,Sometimes,archana,"Jugal SA","Refer design
https://app.sympli.io/app#!/designs/5795de5a7b8607b84e0148a2

Refer screenshot
http://screencast.com/t/QFySqerWh","User's review and following count should be visible.","1. Open prduct details page; 2. Open review tab","Android Phone Samsung Galaxy J7 Android 5.1",,3,"09/08/2016 07:29:16 ","13/10/2016 09:47:33 "
58,"User's phone number under review is not in format as per design. ",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Rahul Asati","Refer design https://app.sympli.io/app#!/designs/5795de5a7b8607b84e0148a2
Refer screenshot
http://screencast.com/t/3bEzj5fiiYZ","First two and last two numbers should be visible other letters should be X.","1. Open Review tab under product details page","Android Phone Samsung Galaxy J7 Android 5.1",,3,"09/08/2016 07:34:12 ","10/08/2016 11:28:38 "
59,"App is getting crash while launching application",1.6.0.test1,Closed,High,Critical,Functional,Always,archana,"Rahul Asati","App is getting crash while opening application.  Pfa file for logs
",,"1. Open app","Android Phone Samsung Galaxy J7 Android 5.1",,3,"09/08/2016 08:34:54 ","04/10/2016 11:25:03 "
61,"Review dislike button is not clickable ",1.6.0.test1,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","Review dislike button is not clickable 

After clicking on dislike icon count is not getting increment.","User should able to dislike review","1. Open product details page; 2. Click on Review dislike button","Android Phone Samsung Galaxy J7 Android 5.1",,2,"09/08/2016 11:46:51 ","10/08/2016 11:32:10 "
62,"users name is not available and when user likes review , message is getting visible as ""You are following null""",1.6.0.test1,Closed,Medium,Minor,Visual,Always,archana,"Jugal SA","users name is not available and when user likes review , message is getting visible as ""You are following null""","User name shoule not be null.","1. Open product Maybelline superstay 14hr Lipstick Eternal Rose (3.3g)","Android Phone Samsung Galaxy J7",,4,"09/08/2016 12:44:44 ","13/10/2016 09:57:24 "
64,"Version number is not present in app.",1.6.0.test1,Closed,Medium,Critical,Visual,Always,archana,iliyas,"Version number is not present in number.

","Version number should be present.","1. Open app; 2. Check drawer menu","Android Phone Samsung Galaxy J7 Android 5.1",,1,"10/08/2016 05:45:56 ","03/02/2017 10:39:29 "
65,"Google + login is not working.",1.6.0.test1,Closed,High,Major,Functional,Always,archana,"Rahul Asati","Unable to login with google+.","User should able to login with google+ account.","1. Open login page.; 2. Try to login with google plus.","Android Phone Samsung Galaxy J7 Android 5.1",,1,"10/08/2016 06:06:47 ","23/09/2016 12:15:42 "
161,"app is getting crash when user appllies filter for cancelled orders",1.6.0.test1,Closed,Critical,Major,Functional,Always,archana,"Rahul Asati",,"App should not crash after applying filters for cancelled orders.","1. Open Drawer>> My orders; 2. Open filter; 3. select cancelled order and apply filter","Android Phone Samsung Galaxy Note",,1,"01/09/2016 04:34:18 ","23/09/2016 11:59:04 "
162,"My order page is getting load very slowely for user darchana159@gmail.com",1.6.0.test1,"Not a Bug",High,Major,Functional,Always,archana,"Varun Bhardwaj","My order page is getting load very slowely for user darchana159@gmail.com. 
Also when user install app for the first for the device and opens my order page app is getting crash.
It is happening only once after installation of app for the first time.
Note: Same api issue is happening for mobile browser.
","My order page should not take more time to load.
","1. Login with user darchana159@gmail.com and password archana; 2. open my orders page","Android Phone",,0,"01/09/2016 05:02:13 ","21/12/2016 06:56:41 "
163,"something went wrong message is getting visible when user tries to like story.",1.6.0.test1,Closed,Medium,Major,Functional,Always,archana,"Rahul Asati","when user click on like button of story , user is getting notification message as "" Something went wrong""
and wishslit icon is not getting filled.
also when user again clicks on wishlist cicon user is getting message as ""Item alreday in wishlist""
and wishlist icon not getting filled.","When user adds product in wishlsit, wishlist icon should filled and user should get proper notification message.","1. Open Browse page; 2. Click on Like button of story. ","Android Phone Samsung Galaxy Note 3",,1,"01/09/2016 05:35:38 ","01/09/2016 08:01:37 "
165,"App is getting crash when user clicks on Explore button of story",1.6.0.test1,Closed,High,Major,Functional,Always,archana,"Rahul Asati",,,"1. Open  browse page; 2. Click on Explore button","Android Phone Samsung Galaxy Note 3 Android 5.0",,1,"01/09/2016 05:51:38 ","01/09/2016 08:03:19 "
166,"App is getting crash when user install app for the first time and tries to do login.",1.6.0.test1,Closed,Critical,Major,Functional,Sometimes,archana,"Rahul Asati","Note : App is getitng crash for first time login and first time installation.
","
","1. install app; 2. Click on login","Android Phone Samsung Galaxy Note 3 Android 5.0",,1,"01/09/2016 06:27:04 ","02/09/2016 10:08:21 "
167,"About purplle page is not getting load and terms and condition page is showing google page.",1.6.0.test1,Closed,High,Major,Usability,Always,archana,"Varun Bhardwaj",,,"1. Open Drawer >>About purplle.; 2. Open Drawer >>Terms and conditions.","Android Phone Samsung Galaxy Note 3",,0,"01/09/2016 06:38:46 ","20/12/2016 14:33:49 "
169,"App is getting crash when user tries to login with google plus.",1.6.0.test1,Closed,Critical,Critical,Functional,Always,archana,"Rahul Asati","Note : app is getting crash in micromax device.
working fine with samsung.

Micormax AQ5001",,"1. Open Login page; 2. Login with google plus account","Android Phone",,0,"01/09/2016 06:53:05 ","19/11/2016 07:25:29 "
170,"Offer banners are not visible under offer page.",1.6.0.test1,Closed,Medium,Major,Functional,Always,archana,"Varun Bhardwaj",,"Banners should be visible under offers page.","1. Open Shop>>offers.","Android Phone Samsung Galaxy J7",,1,"01/09/2016 07:05:51 ","21/12/2016 06:59:17 "
63,"View count is not shown under story listing page",1.6.0.test2,Closed,Medium,Major,Functional,Always,archana,"Jugal SA","Refer design: https://app.sympli.io/app#!/designs/57970c9b4b9a4a6c5c5643e0

","View count should be visible under story listing page and story details page.","1. Open story listing page","Android Phone Samsung Galaxy J7 Android 5.1",,1,"10/08/2016 05:22:33 ","25/11/2016 05:51:47 "
66,"App is failed to launch while installing for the first time.",1.6.0.test2,Closed,High,Major,Functional,Always,archana,"Rahul Asati","When user launches app for the first time, home is not getitng displayed white screen is getting displayed. ","app should get open smoothly.
","1. Install app for the first time.","Android Phone Samsung Galaxy J7 Android 5.1",,2,"10/08/2016 06:16:54 ","12/08/2016 06:56:28 "
67,"Under wallet -> refer and earn text is compressed",1.6.0.test2,"Not a Bug",High,Major,Visual,Always,"Nirali Thakkar","Varun Bhardwaj","Under wallet -> refer and earn text is compressed","Text should not be compressed","1. open app; 2. open  drawer menu; 3. click on my wallet; 4. click on refer and earn, text is compressed","Android Phone Samsung Galaxy Note 3 Android 5.0",,0,"10/08/2016 06:17:25 ","20/12/2016 12:17:54 "
68,"white spaces coming in my favorites -> stories",1.6.0.test2,Closed,High,Major,Visual,Always,"Nirali Thakkar","Rahul Asati","white spaces coming in my favorites -> stories",,"1. open app; 2. open drawer menu; 3. click on my favorites; 4. click on  stories tab","Android Phone Samsung Galaxy Note 3 Android 5.0",,3,"10/08/2016 06:27:00 ","04/10/2016 11:26:20 "
